,State,Year,Quater,Brand,Brand_count,Brand_percentage
293,andhra-pradesh,2020,2,Apple,348938,0.0243677
294,andhra-pradesh,2020,2,OnePlus,309208,0.0215932
295,andhra-pradesh,2020,2,Lenovo,243288,0.0169898
296,andhra-pradesh,2020,2,Others,1053205,0.0735495
297,andhra-pradesh,2020,3,Xiaomi,3978789,0.253549
298,andhra-pradesh,2020,3,Samsung,3154020,0.20099
299,andhra-pradesh,2020,3,Vivo,2687996,0.171293
300,andhra-pradesh,2020,3,Oppo,1695723,0.10806
301,andhra-pradesh,2020,3,Realme,1207622,0.0769558
302,andhra-pradesh,2020,3,Motorola,477313,0.0304168
303,andhra-pradesh,2020,3,Huawei,408520,0.026033
304,andhra-pradesh,2020,3,Apple,370327,0.0235991
305,andhra-pradesh,2020,3,OnePlus,322028,0.0205213
306,andhra-pradesh,2020,3,Lenovo,260912,0.0166266
307,andhra-pradesh,2020,3,Others,1129155,0.0719555
308,andhra-pradesh,2020,4,Xiaomi,4325662,0.25331
309,andhra-pradesh,2020,4,Samsung,3419866,0.200267
310,andhra-pradesh,2020,4,Vivo,2950572,0.172785
311,andhra-pradesh,2020,4,Oppo,1856052,0.10869
312,andhra-pradesh,2020,4,Realme,1361491,0.0797286
313,andhra-pradesh,2020,4,Motorola,506158,0.0296405
314,andhra-pradesh,2020,4,Huawei,437125,0.0255979
315,andhra-pradesh,2020,4,Apple,394191,0.0230837
316,andhra-pradesh,2020,4,OnePlus,336518,0.0197064
317,andhra-pradesh,2020,4,Lenovo,276671,0.0162018
318,andhra-pradesh,2020,4,Others,1212259,0.0709896
319,andhra-pradesh,2021,1,Xiaomi,4644641,0.252925
320,andhra-pradesh,2021,1,Samsung,3635596,0.197977
321,andhra-pradesh,2021,1,Vivo,3245151,0.176715
322,andhra-pradesh,2021,1,Oppo,2010506,0.109482
323,andhra-pradesh,2021,1,Realme,1531645,0.083406
324,andhra-pradesh,2021,1,Motorola,518115,0.028214
325,andhra-pradesh,2021,1,Huawei,455604,0.02481
326,andhra-pradesh,2021,1,Apple,421002,0.0229257
327,andhra-pradesh,2021,1,OnePlus,355922,0.0193818
328,andhra-pradesh,2021,1,Lenovo,277980,0.0151374
329,andhra-pradesh,2021,1,Others,1267571,0.0690258
330,andhra-pradesh,2021,2,Xiaomi,4937684,0.251654
331,andhra-pradesh,2021,2,Samsung,3798250,0.193582
332,andhra-pradesh,2021,2,Vivo,3572140,0.182058
333,andhra-pradesh,2021,2,Oppo,2173037,0.110751
334,andhra-pradesh,2021,2,Realme,1817804,0.0926463
335,andhra-pradesh,2021,2,Motorola,503072,0.0256396
336,andhra-pradesh,2021,2,Apple,450689,0.0229698
337,andhra-pradesh,2021,2,Huawei,440324,0.0224416
338,andhra-pradesh,2021,2,OnePlus,394851,0.020124
339,andhra-pradesh,2021,2,Lenovo,261201,0.0133124
340,andhra-pradesh,2021,2,Others,1271853,0.0648213
341,andhra-pradesh,2021,3,Xiaomi,5256707,0.249607
342,andhra-pradesh,2021,3,Vivo,3981492,0.189056
343,andhra-pradesh,2021,3,Samsung,3911188,0.185717
344,andhra-pradesh,2021,3,Oppo,2382363,0.113123
345,andhra-pradesh,2021,3,Realme,2134616,0.101359
346,andhra-pradesh,2021,3,Motorola,486971,0.0231231
347,andhra-pradesh,2021,3,Apple,480993,0.0228393
348,andhra-pradesh,2021,3,OnePlus,459011,0.0217955
349,andhra-pradesh,2021,3,Huawei,435214,0.0206655
350,andhra-pradesh,2021,3,Lenovo,245241,0.0116449
351,andhra-pradesh,2021,3,Others,1286102,0.0610688
352,andhra-pradesh,2021,4,Xiaomi,5518238,0.245375
353,andhra-pradesh,2021,4,Vivo,4381023,0.194807
354,andhra-pradesh,2021,4,Samsung,4017419,0.178639
355,andhra-pradesh,2021,4,Oppo,2580845,0.11476
356,andhra-pradesh,2021,4,Realme,2528884,0.11245
357,andhra-pradesh,2021,4,Apple,544986,0.0242334
358,andhra-pradesh,2021,4,OnePlus,525373,0.0233613
359,andhra-pradesh,2021,4,Motorola,474422,0.0210957
360,andhra-pradesh,2021,4,Huawei,409934,0.0182282
361,andhra-pradesh,2021,4,Lenovo,224391,0.0099778
362,andhra-pradesh,2021,4,Others,1283514,0.0570729
363,andhra-pradesh,2022,1,Xiaomi,5743382,0.240732
364,andhra-pradesh,2022,1,Vivo,4772765,0.200049
365,andhra-pradesh,2022,1,Samsung,4124296,0.172869
366,andhra-pradesh,2022,1,Realme,2864092,0.120048
367,andhra-pradesh,2022,1,Oppo,2780974,0.116564
368,andhra-pradesh,2022,1,Apple,594003,0.0248975
369,andhra-pradesh,2022,1,OnePlus,580737,0.0243414
370,andhra-pradesh,2022,1,Motorola,463652,0.0194339
371,andhra-pradesh,2022,1,Huawei,401477,0.0168278
372,andhra-pradesh,2022,1,Lenovo,222586,0.00932964
373,andhra-pradesh,2022,1,Others,1309987,0.0549078
374,arunachal-pradesh,2018,1,Xiaomi,5212,0.242475
375,arunachal-pradesh,2018,1,Samsung,4354,0.202559
376,arunachal-pradesh,2018,1,Vivo,3523,0.163899
377,arunachal-pradesh,2018,1,Oppo,2608,0.121331
378,arunachal-pradesh,2018,1,Realme,1297,0.0603396
379,arunachal-pradesh,2018,1,Apple,628,0.0292161
380,arunachal-pradesh,2018,1,Gionee,563,0.0261921
381,arunachal-pradesh,2018,1,Lenovo,420,0.0195394
382,arunachal-pradesh,2018,1,OnePlus,403,0.0187485
383,arunachal-pradesh,2018,1,Motorola,343,0.0159572
384,arunachal-pradesh,2018,1,Others,2144,0.0997441
385,arunachal-pradesh,2018,2,Xiaomi,8058,0.245051
386,arunachal-pradesh,2018,2,Samsung,6633,0.201715
387,arunachal-pradesh,2018,2,Vivo,5591,0.170027
388,arunachal-pradesh,2018,2,Oppo,4204,0.127847
389,arunachal-pradesh,2018,2,Realme,1943,0.0590883
390,arunachal-pradesh,2018,2,Apple,869,0.026427
391,arunachal-pradesh,2018,2,Gionee,730,0.0221999
392,arunachal-pradesh,2018,2,Lenovo,581,0.0176687
393,arunachal-pradesh,2018,2,OnePlus,554,0.0168476
394,arunachal-pradesh,2018,2,Motorola,514,0.0156312
395,arunachal-pradesh,2018,2,Others,3206,0.0974972
396,arunachal-pradesh,2018,3,Xiaomi,11250,0.244981
397,arunachal-pradesh,2018,3,Samsung,9307,0.20267
398,arunachal-pradesh,2018,3,Vivo,8226,0.17913
399,arunachal-pradesh,2018,3,Oppo,5992,0.130482
400,arunachal-pradesh,2018,3,Realme,2676,0.0582727
401,arunachal-pradesh,2018,3,Apple,1153,0.0251078
402,arunachal-pradesh,2018,3,Gionee,1024,0.0222987
403,arunachal-pradesh,2018,3,OnePlus,740,0.0161143
404,arunachal-pradesh,2018,3,Motorola,722,0.0157223
405,arunachal-pradesh,2018,3,Lenovo,629,0.0136971
406,arunachal-pradesh,2018,3,Others,4203,0.0915248
407,arunachal-pradesh,2018,4,Xiaomi,15097,0.244083
408,arunachal-pradesh,2018,4,Samsung,12580,0.203389
409,arunachal-pradesh,2018,4,Vivo,11624,0.187932
410,arunachal-pradesh,2018,4,Oppo,8328,0.134644
411,arunachal-pradesh,2018,4,Realme,3613,0.0584136
412,arunachal-pradesh,2018,4,Apple,1517,0.0245263
413,arunachal-pradesh,2018,4,Gionee,1188,0.0192071
414,arunachal-pradesh,2018,4,Motorola,944,0.0152622
415,arunachal-pradesh,2018,4,OnePlus,896,0.0144862
416,arunachal-pradesh,2018,4,Lenovo,831,0.0134353
417,arunachal-pradesh,2018,4,Others,5234,0.0846214
418,arunachal-pradesh,2019,1,Xiaomi,18809,0.244409
419,arunachal-pradesh,2019,1,Samsung,15537,0.201892
420,arunachal-pradesh,2019,1,Vivo,14892,0.193511
421,arunachal-pradesh,2019,1,Oppo,10738,0.139532
422,arunachal-pradesh,2019,1,Realme,4413,0.0573437
423,arunachal-pradesh,2019,1,Apple,1870,0.0242993
424,arunachal-pradesh,2019,1,Gionee,1310,0.0170225
425,arunachal-pradesh,2019,1,Motorola,1137,0.0147745
426,arunachal-pradesh,2019,1,OnePlus,1114,0.0144756
427,arunachal-pradesh,2019,1,Huawei,972,0.0126304
428,arunachal-pradesh,2019,1,Others,6165,0.0801097
429,arunachal-pradesh,2019,2,Xiaomi,23326,0.243271
430,arunachal-pradesh,2019,2,Samsung,19719,0.205653
431,arunachal-pradesh,2019,2,Vivo,18958,0.197716
432,arunachal-pradesh,2019,2,Oppo,13678,0.14265
433,arunachal-pradesh,2019,2,Realme,5425,0.0565782
434,arunachal-pradesh,2019,2,Apple,2169,0.0226208
435,arunachal-pradesh,2019,2,Gionee,1608,0.0167701
