,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
260,arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460490000.0
261,arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358000.0
262,arunachal-pradesh,2021,1,Merchant payments,155966,204958000.0
263,arunachal-pradesh,2021,1,Financial Services,1558,2672460.0
264,arunachal-pradesh,2021,1,Others,3074,3301660.0
265,arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960000.0
266,arunachal-pradesh,2021,2,Recharge & bill payments,556680,165580000.0
267,arunachal-pradesh,2021,2,Merchant payments,243375,283709000.0
268,arunachal-pradesh,2021,2,Financial Services,1582,2761080.0
269,arunachal-pradesh,2021,2,Others,3755,3415110.0
270,arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033600000.0
271,arunachal-pradesh,2021,3,Recharge & bill payments,600102,187391000.0
272,arunachal-pradesh,2021,3,Merchant payments,314658,449869000.0
273,arunachal-pradesh,2021,3,Financial Services,1934,3348550.0
274,arunachal-pradesh,2021,3,Others,4185,3912140.0
275,arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022730000.0
276,arunachal-pradesh,2021,4,Recharge & bill payments,633248,207785000.0
277,arunachal-pradesh,2021,4,Merchant payments,521447,704196000.0
278,arunachal-pradesh,2021,4,Financial Services,2386,3933560.0
279,arunachal-pradesh,2021,4,Others,5901,4862910.0
280,arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670640000.0
281,arunachal-pradesh,2022,1,Merchant payments,720803,917155000.0
282,arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933000.0
283,arunachal-pradesh,2022,1,Financial Services,3053,3359630.0
284,arunachal-pradesh,2022,1,Others,6052,5002260.0
285,arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627060000.0
286,arunachal-pradesh,2022,2,Merchant payments,1108353,1255510000.0
287,arunachal-pradesh,2022,2,Recharge & bill payments,688770,241163000.0
288,arunachal-pradesh,2022,2,Financial Services,2466,4063470.0
289,arunachal-pradesh,2022,2,Others,5768,3864270.0
290,arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365430000.0
291,arunachal-pradesh,2022,3,Merchant payments,1316326,1413250000.0
292,arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448000.0
293,arunachal-pradesh,2022,3,Financial Services,1997,4763320.0
294,arunachal-pradesh,2022,3,Others,4687,3224950.0
295,arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768090000.0
296,arunachal-pradesh,2022,4,Merchant payments,1704968,1669600000.0
297,arunachal-pradesh,2022,4,Recharge & bill payments,669151,239413000.0
298,arunachal-pradesh,2022,4,Financial Services,2617,3785470.0
299,arunachal-pradesh,2022,4,Others,4838,4020770.0
300,assam,2018,1,Recharge & bill payments,632092,93491200.0
301,assam,2018,1,Peer-to-peer payments,318025,993525000.0
302,assam,2018,1,Merchant payments,40482,34501600.0
303,assam,2018,1,Financial Services,18172,4936860.0
304,assam,2018,1,Others,48110,31349600.0
305,assam,2018,2,Recharge & bill payments,984160,174427000.0
306,assam,2018,2,Peer-to-peer payments,530781,2064310000.0
307,assam,2018,2,Merchant payments,79307,73366300.0
308,assam,2018,2,Financial Services,22773,7051500.0
